Sno,Feature1,Dog Name,Feature2,Feature3,Feature4,Feature5,Feature6,Money,Count,Debt,IsActiveMember,EstimatedSalary,id,Gender2,Customer Type,Age2,Type of Travel,Class,Distance,Rating0,Rating1,Rating2,Rating3,Rating4,Rating5,Rating6,Rating7,Rating8,Rating9,Rating10,Rating11,Rating12,Rating13,Departure Delay in Minutes,Arrival Delay in Minutes,Target1,Target2
15,15726814,Walton,554,Spain,Male,46,4,0,2,0,1,57320.92,104988,Male,Loyal Customer,72,Business travel,Eco,337,5,3,3,3,5,5,5,5,1,2,5,4,3,5,0,0,0,1
16,15653776,Salier,720,Germany,Female,57,1,162082.31,4,0,0,27145.73,86825,Male,Loyal Customer,30,Business travel,Business,3953,2,3,2,3,2,2,2,4,2,3,3,2,2,2,238,219,1,0
17,15597914,Evdokimov,641,Germany,Female,51,2,117306.69,4,1,1,26912.72,90522,Male,Loyal Customer,43,Business travel,Business,2167,4,4,4,4,3,5,5,4,4,4,4,5,4,3,2,2,1,1
18,15631603,Ponomaryova,813,France,Male,32,1,122889.88,1,1,1,26476.18,32450,Female,Loyal Customer,30,Business travel,Business,101,0,5,0,5,1,1,1,1,1,2,5,1,3,1,0,0,0,1
19,15789753,Millar,480,France,Male,40,6,148790.61,1,0,1,79329.7,10469,Male,Loyal Customer,54,Business travel,Business,312,2,2,2,2,5,5,4,5,5,5,5,5,5,5,0,0,0,1
20,15678034,Grosse,811,France,Male,46,9,180226.24,1,1,0,13464.64,101972,Female,Loyal Customer,40,Business travel,Eco,228,3,3,3,3,3,3,3,3,2,1,3,4,4,3,43,35,1,0
21,15690209,Hsiao,715,Germany,Female,32,3,104857.19,2,1,0,114149.8,57646,Female,Loyal Customer,55,Business travel,Eco,200,3,1,4,1,5,3,4,4,4,3,4,3,4,3,0,15,0,1
22,15592091,Belbin,620,Spain,Male,31,2,166833.86,2,1,1,135171.6,105812,Male,Loyal Customer,25,Personal Travel,Eco,919,3,1,3,2,5,3,5,5,3,4,3,3,3,5,1,0,0,0
23,15647453,Ifeajuna,721,France,Male,42,4,102936.72,1,0,0,1187.88,104739,Male,Loyal Customer,58,Business travel,Business,1342,3,3,4,3,3,5,5,5,5,5,5,3,5,4,9,1,0,1
24,15697100,Wright,772,Germany,Female,48,6,108736.52,1,1,0,184564.67,123570,Female,Loyal Customer,24,Business travel,Business,1773,5,3,5,5,5,5,5,5,3,4,3,5,5,5,15,0,1,1
25,15811290,Komarova,680,Germany,Male,44,0,129974.79,2,1,1,33391.38,66765,Male,Loyal Customer,52,Business travel,Business,978,5,5,5,5,3,5,5,5,5,5,5,4,5,5,0,0,0,1
26,15629187,Titheradge,535,France,Male,38,8,85982.07,1,1,0,9238.35,17701,Female,Loyal Customer,65,Business travel,Business,311,1,1,1,1,2,5,4,4,4,4,4,2,4,4,0,0,0,1
27,15758073,Dellucci,655,France,Female,20,7,134397.61,1,0,0,28029.54,47229,Male,Loyal Customer,51,Business travel,Eco Plus,945,4,2,3,2,4,4,4,4,2,3,2,1,2,4,36,30,0,0
28,15640769,Hobbs,660,France,Male,63,8,137841.53,1,1,1,42790.29,83290,Female,Loyal Customer,57,Personal Travel,Eco,2079,3,3,3,3,4,3,3,5,5,3,5,2,5,2,0,32,0,0
29,15606641,Beggs,762,Germany,Male,56,10,100260.88,3,1,1,77142.42,7054,Female,Loyal Customer,53,Business travel,Business,273,4,4,4,4,5,5,4,4,4,4,4,3,4,4,0,0,1,1
30,15718280,Luffman,662,Germany,Male,39,5,139822.11,2,1,1,146219.9,31265,Male,disloyal Customer,19,Business travel,Eco,770,2,2,2,3,4,2,4,4,1,5,1,5,4,4,0,6,0,0
31,15764335,Caldwell,463,Germany,Female,41,8,123151.51,2,1,0,70127.93,54708,Male,Loyal Customer,51,Business travel,Eco,854,1,5,5,5,1,1,1,1,1,3,3,3,4,1,25,33,0,0
32,15634218,Mancini,501,Germany,Male,27,4,95331.83,2,1,0,132104.76,121245,Male,Loyal Customer,32,Business travel,Business,2075,3,3,3,3,3,3,3,3,4,3,4,1,4,3,0,0,0,0
33,15808760,Evseev,603,Spain,Female,42,6,0,1,1,1,90437.87,5426,Male,Loyal Customer,52,Personal Travel,Business,265,3,2,0,3,2,3,3,1,1,0,1,3,1,4,33,28,0,0
34,15648461,Hs?eh,688,Spain,Male,37,7,138162.41,2,1,1,113926.31,6886,Female,Loyal Customer,44,Business travel,Business,3931,5,5,5,5,2,4,4,5,5,5,5,3,5,4,28,43,0,1
35,15593555,Chinedum,430,France,Male,38,9,0,2,1,1,12050.77,69446,Female,Loyal Customer,56,Personal Travel,Eco,1096,2,4,2,4,1,2,1,2,2,2,4,5,2,2,0,0,0,0
36,15569079,Hagins,632,Germany,Male,48,6,126066.26,1,1,0,64345.61,43720,Female,Loyal Customer,19,Personal Travel,Eco,257,3,1,0,4,2,0,2,2,2,2,3,4,4,2,0,0,1,0
37,15800736,Kirwan,601,Spain,Female,42,4,96763.89,1,1,1,199242.65,65151,Female,Loyal Customer,12,Personal Travel,Eco,190,2,5,2,2,1,2,1,1,5,3,4,3,4,1,0,0,0,0
38,15792607,Little,769,France,Female,38,2,0,2,0,0,75578.67,58309,Male,Loyal Customer,30,Business travel,Business,1739,5,5,5,5,4,4,4,4,4,5,4,5,4,4,25,35,0,1
39,15640034,Milligan,551,France,Male,42,2,139561.46,1,1,0,43435.43,32157,Male,Loyal Customer,60,Business travel,Business,3322,4,4,4,4,4,5,4,3,3,4,5,4,3,4,0,0,1,1
40,15807563,Ch'iu,841,France,Female,52,5,0,1,0,0,183239.71,16003,Male,disloyal Customer,30,Business travel,Eco,780,4,4,4,3,2,4,2,2,3,2,4,3,4,2,0,0,1,0
41,15684461,McKay,469,Spain,Female,31,6,0,1,1,0,146213.75,92232,Male,Loyal Customer,19,Business travel,Business,1979,2,2,2,2,4,4,4,4,5,3,5,5,5,4,3,0,1,1
42,15580134,Crawford,479,Spain,Male,27,2,172463.45,1,1,1,40315.27,110496,Male,Loyal Customer,65,Personal Travel,Eco,842,1,5,1,1,4,1,4,4,3,3,5,4,4,4,33,29,0,0
43,15679075,Onyemere,701,France,Male,37,8,107798.85,1,1,0,16966.73,26289,Female,Loyal Customer,54,Business travel,Business,1199,3,4,4,4,5,3,4,3,3,3,3,3,3,2,0,0,0,0
44,15742504,Azuka,593,France,Male,36,2,70181.48,2,1,0,80608.12,66091,Male,Loyal Customer,31,Business travel,Business,2490,1,1,1,1,4,4,4,4,3,5,5,4,4,4,6,,0,1
45,15567328,Ch'en,738,Spain,Male,38,5,177997.07,1,0,1,19233.41,27505,Male,Loyal Customer,36,Business travel,Eco,271,4,5,5,5,4,4,4,4,3,1,4,3,5,4,0,1,0,1
46,15698294,Royster,635,Spain,Male,31,1,0,2,1,0,135382.23,80379,Female,disloyal Customer,20,Business travel,Eco,368,2,3,2,3,1,2,1,1,3,3,2,4,3,1,24,10,0,0
47,15607142,Parkin,658,France,Male,32,8,0,1,1,1,80410.68,32377,Female,Loyal Customer,51,Business travel,Business,101,0,4,0,1,4,5,1,5,5,1,1,2,5,1,10,11,0,1
48,15738516,Kozlova,687,Spain,Female,36,5,0,1,1,0,17696.22,31078,Male,Loyal Customer,29,Business travel,Eco Plus,641,1,3,4,4,1,2,1,1,3,3,4,3,4,1,0,2,0,0
49,15806403,Hu,650,France,Male,37,9,0,2,1,0,17974.08,104504,Female,Loyal Customer,40,Business travel,Business,1609,4,2,2,2,4,4,4,1,2,2,4,4,4,4,246,235,0,0
50,15656707,Ma,720,Spain,Male,21,2,123200.78,1,1,1,180712.28,36091,Male,Loyal Customer,18,Personal Travel,Eco,399,3,5,3,1,3,3,3,3,3,4,4,4,5,3,6,39,0,0
51,15653715,Coates,602,France,Female,63,7,0,2,1,1,56323.21,80637,Female,Loyal Customer,36,Business travel,Business,282,2,2,2,2,4,3,3,4,4,4,4,1,4,1,60,58,0,1
52,15806184,Burns,618,Spain,Male,33,4,0,2,1,1,77550.18,100017,Male,Loyal Customer,44,Business travel,Business,3712,2,2,3,2,4,5,4,5,5,5,5,5,5,4,10,8,0,1
53,15585734,Gouger,803,Germany,Male,41,9,137742.9,2,1,1,166957.82,24946,Female,Loyal Customer,42,Business travel,Eco,1747,5,4,4,4,3,3,4,5,5,5,5,1,5,1,4,0,0,1
54,15725639,Ignatyev,793,France,Female,63,9,116270.72,1,1,1,184243.25,107952,Male,Loyal Customer,27,Business travel,Eco Plus,611,1,3,2,3,1,1,1,1,2,4,4,2,3,1,0,0,0,0
55,15618401,Douglas,616,Germany,Male,41,10,113220.2,2,1,1,114072.91,129668,Female,Loyal Customer,28,Business travel,Eco,447,4,1,1,1,4,4,4,4,2,1,3,1,4,4,0,0,0,0
56,15785385,Fiorentino,550,Spain,Male,51,5,0,2,1,0,153917.41,47487,Female,Loyal Customer,46,Personal Travel,Eco,574,2,4,2,3,5,4,5,4,4,2,4,3,4,5,61,64,0,0
57,15734762,Ignatiev,602,France,Female,56,3,115895.22,3,1,0,4176.17,78471,Female,Loyal Customer,51,Business travel,Business,3040,5,5,5,5,4,4,5,4,4,4,4,5,4,5,0,0,1,1
58,15767129,Munz,452,France,Female,60,6,121730.49,1,1,1,142963.29,13575,Male,Loyal Customer,39,Personal Travel,Eco,227,3,5,3,3,4,3,4,4,5,5,4,5,4,4,0,8,0,0
59,15797204,Paling,655,Spain,Female,28,3,113811.85,2,0,1,76844.23,33575,Male,disloyal Customer,62,Business travel,Eco,399,1,4,1,3,2,1,2,2,3,2,3,4,3,2,0,0,0,0
60,15769272,Clark,510,France,Female,26,6,136214.08,1,0,0,159742.33,1779,Female,Loyal Customer,34,Business travel,Business,500,1,1,1,1,3,4,5,4,4,4,4,4,4,3,0,0,0,1
61,15771966,Akobundu,557,France,Male,39,8,146200.01,1,1,0,177944.64,61273,Male,Loyal Customer,63,Personal Travel,Eco,909,4,3,4,4,5,4,5,5,2,2,3,3,3,5,3,4,0,0
62,15691952,Fanucci,676,France,Male,37,10,106242.67,1,1,1,166678.28,9797,Female,Loyal Customer,69,Personal Travel,Eco Plus,383,2,5,4,4,4,2,1,5,5,4,5,3,5,4,8,3,0,0
63,15593250,Hsiao,640,France,Female,29,4,0,2,1,0,44904.26,39475,Male,disloyal Customer,37,Business travel,Eco,867,1,1,1,2,1,1,1,1,3,5,4,5,4,1,0,4,0,0
64,15605333,Clancy,529,Spain,Male,31,6,0,1,1,0,10625.91,27335,Female,Loyal Customer,36,Business travel,Eco,697,5,2,2,2,5,5,5,5,2,5,5,5,5,5,0,0,0,1
65,15800083,Macdonald,559,France,Male,45,8,24043.45,1,0,1,169781.45,47734,Female,Loyal Customer,30,Business travel,Business,3380,2,4,4,4,2,2,2,2,3,1,3,4,3,2,1,20,1,0
66,15575691,Palerma,689,France,Female,58,5,0,2,0,1,49848.86,99602,Female,Loyal Customer,39,Business travel,Business,2347,5,5,5,5,5,5,4,5,5,5,5,5,5,4,0,0,0,1
67,15689886,Holden,626,Germany,Male,39,10,132287.92,3,1,1,51467.92,118020,Male,Loyal Customer,61,Personal Travel,Eco Plus,1037,1,4,1,3,1,4,5,3,3,5,5,5,4,5,139,119,1,0
68,15809838,Moore,697,Spain,Male,30,1,0,2,0,0,735.79,29446,Female,Loyal Customer,56,Business travel,Business,2266,5,5,4,5,3,3,2,5,5,5,5,3,5,1,0,0,0,1
69,15736154,Gallo,823,France,Female,44,1,0,2,0,1,182495.7,116320,Female,Loyal Customer,29,Personal Travel,Eco,362,1,2,2,3,5,2,5,5,2,2,4,2,3,5,0,0,0,0
70,15767391,Otutodilinna,565,Germany,Female,32,4,90322.99,2,0,1,118740.37,47375,Female,Loyal Customer,53,Business travel,Eco,558,1,4,4,4,5,3,4,1,1,1,1,4,1,4,14,6,0,0
71,15704910,Rios,631,Spain,Male,23,3,0,2,1,0,13813.24,38440,Female,Loyal Customer,40,Business travel,Business,588,4,4,4,4,2,4,5,4,4,4,4,5,4,5,10,15,0,1
72,15656613,McGregor,646,France,Female,34,3,131283.11,1,0,0,130500.65,33570,Male,Loyal Customer,31,Business travel,Business,413,4,4,4,4,4,4,4,4,4,1,3,1,1,4,6,2,0,1
73,15611551,Hill,676,Spain,Male,48,1,131659.59,2,0,1,14152.15,1138,Male,Loyal Customer,70,Personal Travel,Eco,312,1,1,1,2,1,1,1,1,3,5,2,4,3,1,0,0,0,0
74,15732430,H?,850,Spain,Female,54,4,120952.74,1,1,0,66963.15,81624,Female,Loyal Customer,30,Business travel,Business,3807,3,3,3,3,5,5,5,5,3,4,4,5,5,5,0,0,0,1
75,15741865,Ferrari,810,France,Female,38,9,153166.17,1,1,1,93261.69,98874,Female,Loyal Customer,60,Business travel,Business,991,1,1,1,1,3,4,4,5,5,5,5,3,5,4,4,0,0,1
76,15634143,Onyemauchechi,581,Spain,Male,30,0,53291.86,1,0,0,196582.28,26756,Female,Loyal Customer,43,Business travel,Business,3859,3,3,3,3,1,3,3,5,5,5,5,1,5,3,0,5,0,1
77,15609676,Nkemakonam,718,France,Female,35,2,167924.95,1,1,0,43024.64,44693,Male,Loyal Customer,59,Business travel,Business,67,5,5,5,5,2,2,5,4,4,4,5,2,4,1,55,48,0,1
78,15761600,White,713,France,Male,43,5,86394.14,1,1,1,130001.13,98520,Female,Loyal Customer,68,Personal Travel,Eco,668,3,2,3,4,1,3,3,5,5,3,4,4,5,2,20,82,0,0
79,15676404,Kirillov,672,France,Female,50,1,0,1,1,0,12106.82,12283,Female,Loyal Customer,48,Business travel,Business,201,1,1,1,1,3,5,5,5,5,5,5,2,5,3,0,0,1,1
80,15659236,Iadanza,781,Spain,Male,33,3,0,2,1,1,42556.33,11087,Female,Loyal Customer,58,Personal Travel,Eco,517,2,4,5,4,2,5,5,5,5,5,5,3,5,3,0,0,0,0
81,15690440,Stiles,656,Spain,Male,47,1,0,2,1,1,197961.93,5912,Male,Loyal Customer,54,Personal Travel,Eco,67,2,2,2,4,5,2,5,5,3,2,3,4,3,5,28,19,0,0
82,15694601,Ankudinov,583,France,Female,31,4,158978.79,1,1,0,12538.92,57766,Female,disloyal Customer,22,Business travel,Business,1378,5,5,5,3,5,2,2,4,4,4,4,2,5,2,0,0,0,1
83,15812262,Gaffney,808,Germany,Female,37,2,100431.84,1,1,0,35140.49,781,Male,Loyal Customer,37,Business travel,Business,2421,3,3,3,3,2,4,4,5,5,5,5,3,5,5,4,1,1,1
84,15762821,Udinese,721,Spain,Male,33,5,0,2,0,1,117626.9,116258,Female,Loyal Customer,68,Personal Travel,Eco,308,4,1,4,2,2,3,2,2,2,4,2,1,2,1,18,12,0,0
85,15669301,Romani,778,Germany,Female,29,6,150358.97,1,1,0,62454.01,11074,Female,Loyal Customer,60,Personal Travel,Eco,166,1,5,1,3,2,4,4,3,3,1,3,5,3,4,0,0,1,0
86,15672640,Kambinachi,850,Spain,Female,45,4,114347.85,2,1,1,109089.04,54303,Male,Loyal Customer,36,Business travel,Business,1597,5,5,5,5,3,4,4,4,4,4,4,4,4,5,0,0,0,1
87,15750458,Hawkins,693,France,Female,39,4,0,2,0,1,142331.39,65217,Female,Loyal Customer,44,Business travel,Business,1516,0,4,0,2,3,4,4,2,2,2,1,3,2,4,4,0,0,1
88,15627251,Tsui,520,France,Male,34,4,134007.9,1,1,1,193209.11,10372,Male,disloyal Customer,19,Business travel,Business,517,4,0,4,4,3,4,3,3,5,4,5,4,5,3,7,8,0,1
89,15764294,Ifeatu,759,Germany,Male,31,4,98899.91,1,1,1,47832.82,72453,Female,Loyal Customer,33,Business travel,Business,1121,4,4,3,4,4,5,4,5,5,5,5,3,5,4,0,0,0,1
90,15659962,McIntosh,637,France,Male,60,3,0,2,1,1,70174.03,36720,Male,Loyal Customer,75,Business travel,Eco Plus,797,4,1,1,1,4,4,4,4,2,3,3,3,4,4,0,19,0,0
91,15788536,Armit,755,Germany,Male,40,2,137430.82,2,0,0,176768.59,114314,Female,Loyal Customer,52,Personal Travel,Eco,846,2,5,2,1,4,4,5,4,4,2,4,4,4,5,1,0,0,0
92,15596979,Fang,662,France,Female,47,6,0,2,1,1,129392.75,40846,Female,disloyal Customer,30,Business travel,Eco,501,1,5,1,1,1,1,4,1,5,5,3,5,5,1,0,0,0,0
93,15681220,Chou,503,France,Female,37,8,0,2,1,1,97893.32,26992,Female,Loyal Customer,49,Business travel,Eco,867,5,3,3,3,4,1,2,5,5,5,5,1,5,3,0,3,0,1
94,15635097,Okeke,599,Germany,Male,39,2,188976.89,2,0,1,176142.09,10086,Female,Loyal Customer,43,Business travel,Business,266,1,1,3,1,1,1,1,1,1,1,1,1,1,3,0,0,0,0
95,15780779,Ramsbotham,583,Spain,Female,40,4,0,2,1,0,114093.73,117478,Female,Loyal Customer,57,Business travel,Business,507,4,4,4,4,2,5,5,4,4,4,4,3,4,5,26,18,0,1
96,15798470,Scannell,764,Spain,Female,48,1,75990.97,1,1,0,158323.81,5479,Female,Loyal Customer,32,Personal Travel,Eco Plus,265,1,3,1,4,4,1,4,4,1,2,2,3,4,4,0,4,1,0
97,15760880,Edman,513,France,Male,29,10,0,2,0,1,25514.77,72123,Male,Loyal Customer,33,Business travel,Business,1607,4,4,4,4,5,5,5,5,3,3,4,3,5,5,8,16,0,1
98,15616929,De Luca,730,Spain,Male,62,5,112181.08,1,0,1,61513.87,73984,Female,Loyal Customer,18,Business travel,Eco Plus,2585,3,3,5,3,3,1,3,1,1,4,3,3,4,3,6,0,0,0
99,15758775,Vasilyeva,820,Spain,Male,34,10,97208.46,1,1,1,59553.34,54652,Male,disloyal Customer,12,Business travel,Eco,854,2,2,2,3,5,2,5,5,3,2,4,1,3,5,84,78,0,0
100,15663386,Tuan,597,Spain,Female,26,7,0,2,1,0,110253.2,46194,Female,Loyal Customer,55,Business travel,Business,1541,2,1,1,1,4,3,3,2,2,2,2,2,2,3,0,0,0,0
101,15621267,Ejimofor,637,France,Male,32,5,0,1,0,0,148769.08,77897,Male,Loyal Customer,48,Business travel,Business,1935,2,2,2,2,3,4,4,4,4,4,4,5,4,4,0,0,0,1
102,15720509,Hs?,696,France,Male,34,9,150856.79,1,0,1,8236.78,17339,Male,Loyal Customer,44,Business travel,Eco,563,5,4,4,4,5,5,5,5,5,4,3,4,4,5,4,1,0,1
103,15693322,Shaver,635,Germany,Female,37,9,146748.07,1,0,1,11407.58,59759,Female,Loyal Customer,26,Business travel,Business,2275,3,3,3,3,4,4,4,4,4,4,5,5,5,4,33,17,0,1
104,15589544,Wallis,673,Spain,Female,57,4,0,2,1,1,49684.09,118683,Male,Loyal Customer,41,Business travel,Eco,451,3,3,3,3,4,3,4,4,1,1,2,5,5,4,0,0,0,1
105,15772030,Coupp,662,Spain,Male,33,3,0,2,0,1,68064.83,81072,Male,Loyal Customer,54,Business travel,Business,931,4,4,4,4,4,4,5,4,4,4,4,3,4,3,0,5,0,1
106,15693337,Perry,683,Spain,Male,41,0,148863.17,1,1,1,163911.32,40853,Male,Loyal Customer,15,Personal Travel,Eco,590,2,5,3,3,3,3,3,3,4,3,4,5,5,3,32,42,0,0
107,15676571,Bezrukova,850,France,Male,55,6,0,1,1,0,944.41,120509,Male,Loyal Customer,36,Business travel,Eco Plus,366,5,2,2,2,5,5,5,5,1,3,2,3,2,5,0,0,1,1
108,15701392,Lucciano,815,Spain,Male,28,6,0,2,0,1,185547.71,109683,Male,Loyal Customer,28,Personal Travel,Eco,802,2,2,2,1,2,2,2,2,1,3,1,3,1,2,35,21,0,0
109,15741092,Ingram,671,Spain,Male,34,10,153360.02,1,1,0,140509.86,12626,Male,Loyal Customer,55,Business travel,Business,844,2,2,2,2,5,5,4,4,4,4,4,4,4,3,36,27,0,1
110,15643865,Lo Duca,601,France,Female,40,3,92055.36,1,0,1,164652.02,97255,Female,Loyal Customer,60,Business travel,Eco,296,4,4,4,4,2,3,3,4,4,4,4,4,4,3,51,33,1,0
111,15769389,Wan,709,Germany,Female,39,9,124723.92,1,1,0,73641.86,7992,Female,Loyal Customer,41,Business travel,Business,402,2,4,4,4,3,3,3,2,2,2,2,3,2,2,0,31,0,0
112,15807768,Cohn,702,Germany,Male,28,1,103033.83,1,1,1,40321.87,91070,Male,Loyal Customer,20,Personal Travel,Eco,404,3,4,3,1,3,3,3,4,5,4,4,3,5,3,97,140,0,0
113,15801630,Yen,558,France,Male,40,6,0,2,1,0,173844.89,58186,Male,disloyal Customer,8,Business travel,Eco,925,2,3,3,4,4,3,4,4,2,2,4,2,3,4,2,21,0,0
114,15705034,Peng,691,Spain,Male,40,1,0,2,1,1,145613.17,22251,Male,disloyal Customer,22,Business travel,Eco,238,1,4,1,2,2,1,2,2,4,3,1,1,5,2,0,0,0,0
115,15763107,Little,700,France,Female,30,9,0,1,1,1,174971.64,12504,Female,Loyal Customer,18,Personal Travel,Eco Plus,192,4,4,4,3,4,5,5,4,2,5,5,5,4,5,132,128,0,0
116,15667085,Meng,667,France,Male,33,4,0,2,1,1,131834.75,96299,Female,Loyal Customer,30,Personal Travel,Eco,786,3,4,3,2,5,3,3,5,4,3,4,3,4,5,1,0,0,0
117,15647008,Adams,624,Germany,Male,54,3,116726.22,1,1,0,110498.1,77543,Male,Loyal Customer,32,Business travel,Business,3876,4,4,4,4,4,4,4,4,5,5,4,3,4,4,32,26,1,1
118,15584505,Hill,580,France,Female,23,5,113923.81,2,0,0,196241.43,6355,Female,disloyal Customer,42,Business travel,Business,213,2,1,1,5,1,2,1,1,4,5,5,5,5,1,0,0,0,0
119,15748068,Boyle,571,Spain,Female,31,3,0,2,1,1,194667.92,24934,Male,Loyal Customer,36,Business travel,Eco,2106,5,2,2,2,5,5,5,5,2,5,4,1,3,5,6,0,0,1
120,15663964,Pagnotto,561,France,Male,37,5,0,2,1,0,83093.25,52561,Male,disloyal Customer,57,Business travel,Eco,119,5,2,5,1,4,5,3,4,1,2,4,5,4,4,0,0,0,1
121,15782311,Feng,529,France,Male,28,9,0,2,1,1,52545.24,124966,Female,Loyal Customer,59,Business travel,Business,3181,0,5,0,4,2,4,4,5,5,5,5,3,5,5,0,0,0,1
122,15588197,Endrizzi,670,France,Male,36,7,0,2,0,0,59571.5,8,Female,Loyal Customer,60,Business travel,Business,853,4,3,4,4,4,4,4,3,3,4,3,3,3,4,0,3,0,1
123,15610105,Shen,666,Germany,Female,21,1,121827.43,2,1,1,99818.31,91444,Female,disloyal Customer,21,Business travel,Eco,859,4,4,4,3,5,4,5,5,4,5,4,4,4,5,0,0,0,1
124,15606133,Lay,628,Spain,Male,42,7,0,2,0,1,172967.87,123443,Male,Loyal Customer,55,Business travel,Business,2125,3,3,3,3,2,3,5,2,2,2,2,4,2,3,0,0,0,1
125,15599403,Wu,577,France,Male,60,10,125389.7,2,1,1,178616.73,83094,Female,Loyal Customer,19,Personal Travel,Eco,957,2,4,2,4,2,2,2,2,3,2,4,5,5,2,0,2,0,0
126,15648225,Shephard,652,Spain,Female,38,1,103895.31,1,0,1,159649.44,115935,Female,Loyal Customer,51,Business travel,Business,2198,3,2,2,2,3,4,4,3,3,3,3,1,3,3,0,0,0,0
127,15608406,Schmidt,678,France,Male,26,5,111128.04,1,1,0,60941.27,114558,Male,Loyal Customer,43,Personal Travel,Business,446,1,5,1,1,3,5,5,5,5,1,5,3,5,3,2,0,1,0
128,15633378,Davidson,692,Spain,Female,49,9,0,2,1,0,178342.63,2461,Male,Loyal Customer,31,Business travel,Business,1697,5,5,5,5,5,5,5,5,4,5,4,5,4,5,0,9,0,1
129,15664759,Lamb,675,Spain,Male,32,10,0,2,1,0,191545.65,33371,Female,Loyal Customer,26,Personal Travel,Eco,2409,3,4,3,1,5,3,5,5,1,5,4,1,5,5,0,0,0,0
130,15625545,Hussey,712,Spain,Male,52,9,0,1,1,1,117977.45,74977,Male,Loyal Customer,17,Personal Travel,Eco,2475,2,0,2,1,3,2,3,3,3,2,4,3,4,3,0,0,1,0
131,15772148,Ferrari,639,Germany,Female,37,5,151242.48,1,0,1,49637.65,86109,Female,Loyal Customer,41,Business travel,Business,226,1,1,4,1,4,5,4,5,5,5,5,3,5,4,12,0,0,1
132,15810829,Macfarlan,618,France,Male,48,7,0,1,1,0,13921.82,44160,Male,disloyal Customer,21,Business travel,Eco,229,2,0,2,3,4,2,4,4,2,5,1,1,5,4,51,47,1,0
133,15731669,Szabados,554,France,Male,39,2,129709.62,1,1,0,173197.12,3154,Male,Loyal Customer,63,Personal Travel,Eco,140,5,3,5,4,5,5,5,5,4,5,2,2,5,5,0,0,0,1
