Sno,Feature1,Dog Name,Feature2,Feature3,Feature4,Feature5,Feature6,Money,Count,Debt,IsActiveMember,EstimatedSalary,id,Gender2,Customer Type,Age2,Type of Travel,Class,Distance,Rating0,Rating1,Rating2,Rating3,Rating4,Rating5,Rating6,Rating7,Rating8,Rating9,Rating10,Rating11,Rating12,Rating13,Departure Delay in Minutes,Arrival Delay in Minutes
25,15711750,Watson,711,France,Female,34,6,0,2,1,1,175310.38,9937,Male,disloyal Customer,17,Business travel,Eco,357,1,4,1,3,1,1,1,4,4,3,3,1,4,1,163,179
26,15751084,Mancini,712,France,Female,29,8,140170.61,1,1,1,38170.04,70944,Male,Loyal Customer,23,Personal Travel,Eco,612,2,5,2,3,1,2,1,1,5,2,5,3,5,1,10,5
27,15768945,Chibueze,627,France,Male,27,1,62092.9,1,1,1,105887.04,2386,Male,disloyal Customer,22,Business travel,Eco,641,4,0,4,2,3,4,3,3,3,5,4,4,4,3,42,41
28,15586931,Hunter,694,Spain,Male,39,3,0,1,1,1,95625.03,42121,Male,Loyal Customer,7,Personal Travel,Eco,964,1,4,1,4,2,1,2,2,5,4,4,5,5,2,0,1
29,15636353,Buchi,534,Spain,Male,35,4,0,2,0,0,9541.15,507,Female,Loyal Customer,36,Business travel,Business,1709,2,2,2,2,5,4,4,5,5,5,5,5,5,3,0,0
30,15623858,Charteris,603,France,Male,45,9,0,1,0,0,148516.79,2217,Male,Loyal Customer,30,Business travel,Business,642,2,2,2,2,5,5,5,5,3,3,4,5,4,5,34,37
31,15703354,Aksenov,808,France,Female,33,2,103516.87,1,1,0,113907.8,86621,Female,Loyal Customer,29,Business travel,Business,1663,1,1,1,1,3,3,3,3,3,4,4,4,4,3,0,0
32,15663987,Wright,723,Spain,Male,30,1,0,3,1,0,164647.72,47381,Female,disloyal Customer,39,Business travel,Business,532,3,3,3,3,2,3,2,2,1,5,4,2,3,2,0,0
33,15780805,Lu,585,France,Female,35,2,0,2,1,0,98621.04,5531,Female,Loyal Customer,35,Business travel,Eco,431,3,1,1,1,3,4,3,3,2,3,3,4,3,3,0,0
34,15768566,K?,706,France,Male,34,8,0,2,1,1,37479.97,667,Female,Loyal Customer,54,Business travel,Business,229,1,1,1,1,4,5,5,5,5,5,5,4,5,4,0,0
35,15643229,Hou,671,France,Female,31,6,0,2,1,1,15846.42,28448,Female,Loyal Customer,36,Business travel,Business,2537,3,1,3,3,5,5,5,2,2,5,1,5,3,5,0,0
36,15754940,Descoteaux,597,Spain,Male,43,2,85162.26,1,0,1,5104.08,97460,Male,Loyal Customer,59,Business travel,Business,822,2,2,2,2,4,4,4,4,4,4,4,5,4,5,0,0
37,15676576,Stephenson,646,France,Female,43,8,143061.88,1,1,0,61937.6,77694,Female,disloyal Customer,22,Business travel,Business,731,5,0,5,2,2,5,2,2,5,3,5,5,5,2,0,0
38,15800068,Cooper,801,Spain,Female,46,6,0,2,1,1,170008.74,7551,Female,Loyal Customer,33,Business travel,Business,3372,2,3,3,3,5,4,4,2,2,2,2,4,2,2,88,75
39,15648030,Crump,731,Spain,Female,33,5,137388.01,2,1,0,165000.68,87071,Female,Loyal Customer,27,Business travel,Business,3162,5,5,5,5,5,5,5,5,3,2,4,3,4,5,0,0
40,15668594,Diggs,620,Germany,Female,25,1,137712.01,1,1,1,76197.05,15001,Female,Loyal Customer,21,Personal Travel,Eco,1154,3,4,3,3,3,3,2,3,5,4,4,3,4,3,0,0
41,15728709,Shih,484,Germany,Male,40,7,106901.42,2,0,0,118045.98,89441,Female,Loyal Customer,18,Personal Travel,Eco,134,3,2,3,4,2,3,2,2,1,1,3,3,4,2,3,11
42,15724181,Hudson,647,Spain,Male,47,5,105603.21,2,1,1,157360.9,109015,Female,Loyal Customer,42,Business travel,Business,1516,5,5,5,5,5,5,5,4,4,5,4,3,4,5,0,0
43,15647546,Carvosso,688,Germany,Female,40,8,150679.71,2,0,1,196226.38,94535,Female,Loyal Customer,55,Business travel,Business,189,3,3,3,3,4,4,4,4,4,4,5,3,4,4,0,0
44,15702601,Wyatt,680,Germany,Male,30,4,108300.27,2,0,1,44384.57,45737,Male,Loyal Customer,24,Business travel,Eco Plus,1463,5,5,5,5,5,5,4,5,1,2,1,5,2,5,0,0
45,15567725,Kodilinyechukwu,689,France,Female,46,7,52016.08,2,1,1,72993.65,94888,Female,Loyal Customer,56,Business travel,Business,248,2,3,3,3,2,3,3,2,2,2,2,2,2,2,2,0
46,15674179,Vorobyova,513,Germany,Male,34,7,60515.13,1,0,0,124571.09,14783,Male,Loyal Customer,9,Personal Travel,Eco,694,3,4,2,1,5,2,4,5,4,2,5,4,4,5,0,0
47,15686957,Piccio,553,Germany,Male,35,2,158584.28,2,1,0,43640.16,126955,Female,Loyal Customer,54,Business travel,Business,1845,5,5,4,5,5,5,4,5,5,5,5,3,5,3,0,0
48,15607690,Hsing,689,Germany,Male,47,2,118812.5,2,0,0,31121.42,102994,Male,Loyal Customer,50,Business travel,Business,460,1,1,3,1,3,4,4,4,4,4,4,5,4,3,0,0
49,15806546,Lucas,517,Spain,Male,46,4,0,1,1,0,22372.78,79004,Female,Loyal Customer,56,Business travel,Business,226,5,5,2,5,5,4,5,4,4,4,4,3,4,4,0,0
50,15632850,T'ang,731,France,Male,37,8,0,2,1,1,170338.35,76510,Male,Loyal Customer,58,Business travel,Business,534,5,5,5,5,3,4,4,5,5,5,5,4,5,3,0,0
51,15709016,North,687,Germany,Female,47,1,91219.29,1,0,0,158845.49,100968,Female,Loyal Customer,13,Personal Travel,Eco,1204,3,2,3,3,3,3,3,3,4,1,3,3,3,3,0,0
52,15638068,Thompson,507,Spain,Male,32,7,0,2,1,0,67926.18,17077,Male,Loyal Customer,60,Personal Travel,Business,416,3,5,3,1,2,2,5,5,5,3,5,2,5,5,106,98
53,15749345,Simpson,468,France,Female,22,1,76318.64,1,1,1,194783.12,15179,Male,Loyal Customer,41,Personal Travel,Eco,416,3,4,3,3,3,3,3,3,2,4,3,5,2,3,0,0
54,15791321,Nwora,682,Spain,Female,58,4,0,1,1,0,176036.01,75398,Female,disloyal Customer,29,Business travel,Business,2342,0,1,1,1,5,1,4,5,5,5,3,3,4,5,28,13
55,15699095,Chandler,603,France,Female,24,3,0,1,1,1,198826.03,129435,Male,Loyal Customer,43,Business travel,Business,3644,3,3,2,3,5,5,5,4,2,5,5,5,5,5,226,220
56,15638329,Uspensky,522,Germany,Male,25,1,111432.13,1,1,1,168683.57,106742,Female,disloyal Customer,25,Business travel,Eco,945,2,2,2,4,4,2,4,4,3,4,4,2,4,4,25,26
57,15575445,Ferguson,629,Spain,Male,41,10,150148.51,1,0,0,6936.27,1737,Male,Loyal Customer,56,Personal Travel,Eco,364,4,2,2,2,1,2,1,1,2,4,2,2,2,1,0,0
58,15752622,Kerr,729,France,Female,32,7,38550.06,1,0,1,179230.23,26891,Female,Loyal Customer,28,Personal Travel,Eco,689,3,4,2,2,1,2,1,1,5,5,4,3,4,1,0,5
59,15774507,Furneaux,574,France,Female,39,5,119013.86,1,1,0,103421.91,109064,Male,Loyal Customer,41,Business travel,Eco,781,4,4,2,2,4,4,4,4,3,1,2,3,3,4,10,0
60,15570857,Kambinachi,677,Germany,Female,39,0,111213.64,2,1,1,147578.26,66234,Female,Loyal Customer,42,Business travel,Eco,460,5,4,4,4,1,3,3,5,5,5,5,5,5,4,1,1
61,15599386,Black,627,Germany,Male,28,5,71097.23,1,1,1,130504.49,79763,Female,Loyal Customer,27,Business travel,Business,1915,1,1,1,1,5,5,5,5,4,5,4,5,4,5,2,0
62,15744913,Chizoba,788,Spain,Male,36,10,109632.85,1,1,1,16149.13,89261,Female,disloyal Customer,30,Business travel,Eco,453,3,4,3,4,3,3,3,3,4,2,4,3,4,3,0,0
63,15647292,Peng,697,France,Male,63,7,148368.02,1,0,0,118862.08,94173,Female,Loyal Customer,28,Business travel,Business,562,4,2,2,2,4,4,4,4,2,1,3,1,3,4,0,0
64,15728838,Leach,578,France,Male,45,1,148600.91,1,1,0,143397.14,2599,Female,Loyal Customer,19,Personal Travel,Eco,227,1,5,1,1,2,1,4,2,1,1,4,4,1,2,1,1
65,15584704,Chiazagomekpele,519,France,Male,48,10,71083.98,1,1,0,137959,85609,Female,Loyal Customer,64,Personal Travel,Eco,192,3,5,3,4,5,5,4,1,1,3,1,4,1,5,0,0
66,15749068,Nickson,632,France,Female,40,9,139625.34,1,1,0,93702.96,3095,Male,Loyal Customer,51,Personal Travel,Eco,678,2,4,2,1,4,2,1,4,3,5,5,3,4,4,19,22
67,15622985,Lin,679,France,Female,39,4,0,1,0,0,172939.3,47367,Female,disloyal Customer,21,Business travel,Eco,574,3,5,3,3,2,3,2,2,3,1,5,1,1,2,0,0
68,15587676,Alexeieva,699,France,Male,30,9,0,1,1,1,108162.13,23317,Male,disloyal Customer,17,Business travel,Eco,979,1,1,1,3,5,1,5,5,1,3,4,3,3,5,57,52
69,15779496,Sykes,615,France,Male,64,0,81564.1,2,0,1,35896.09,111391,Male,Loyal Customer,33,Personal Travel,Eco,1173,3,5,4,1,2,4,2,2,4,4,3,5,4,2,0,2
70,15733460,Martin,622,Spain,Male,36,9,0,2,1,1,104852.6,37192,Female,Loyal Customer,29,Business travel,Eco Plus,1189,4,3,3,3,4,4,4,4,3,1,5,1,1,4,0,7
71,15711457,Herz,755,France,Female,28,7,124540.28,1,0,1,188850.89,59742,Male,Loyal Customer,43,Business travel,Business,2398,2,2,5,2,3,4,4,5,5,5,5,5,5,3,15,9
72,15795290,Nikitina,767,France,Female,42,2,133616.39,1,1,0,28615.8,61764,Male,Loyal Customer,11,Personal Travel,Eco,1303,2,3,2,3,4,2,4,4,1,5,2,3,4,4,3,0
73,15611223,Ko,752,Germany,Female,38,10,101648.5,2,1,0,172001.44,39359,Male,Loyal Customer,36,Business travel,Eco,896,4,2,2,2,4,4,4,4,2,4,3,2,1,4,4,0
74,15794159,Highett,633,France,Female,26,8,124281.84,1,1,1,60116.57,38614,Female,Loyal Customer,30,Personal Travel,Eco,231,2,1,2,3,5,2,1,5,3,4,4,4,3,5,6,0
75,15780677,Jackson,717,France,Female,59,4,0,2,1,1,170528.63,74390,Female,Loyal Customer,56,Business travel,Business,3683,3,3,3,3,5,5,5,4,4,4,4,3,4,3,84,72
76,15690175,Ball,585,Spain,Male,45,0,0,2,0,0,189683.7,852,Male,Loyal Customer,49,Business travel,Business,134,2,3,1,3,3,2,2,1,1,1,2,4,1,3,0,0
77,15722599,Nelson,751,France,Female,37,9,183613.66,2,0,0,49734.94,87533,Female,Loyal Customer,47,Business travel,Eco Plus,373,3,3,3,3,2,3,3,3,3,3,3,3,3,3,0,0
78,15569976,Woronoff,754,Germany,Male,65,1,136186.44,1,1,1,121529.59,64033,Male,Loyal Customer,53,Business travel,Business,3222,1,1,1,1,2,5,4,5,5,4,5,5,5,3,0,0
79,15707011,Morrison,495,France,Male,47,10,137682.68,1,1,0,71071.47,32133,Male,Loyal Customer,26,Business travel,Business,2314,3,3,3,3,5,5,3,5,1,1,1,4,1,5,0,0
80,15702277,Smith,650,France,Male,34,4,106005.54,1,0,1,142995.32,128673,Female,Loyal Customer,27,Business travel,Business,2419,1,1,1,1,4,4,4,4,3,5,5,4,4,4,0,0
81,15801915,Rendall,529,France,Female,31,6,152310.55,1,1,0,13054.25,123157,Male,Loyal Customer,42,Business travel,Business,1753,4,5,5,5,4,3,3,4,4,4,4,1,4,3,0,0
82,15580213,McIntyre,585,France,Female,43,2,0,2,1,0,89402.54,88619,Male,Loyal Customer,42,Personal Travel,Eco,545,3,5,2,1,2,2,2,2,2,4,3,2,5,2,21,16
83,15637947,Wei,668,Spain,Male,32,1,134446.04,1,0,1,111241.37,52644,Female,Loyal Customer,27,Personal Travel,Eco,119,4,4,4,3,5,4,5,5,5,1,4,1,2,5,0,0
84,15715888,Allardyce,591,France,Female,38,2,142289.28,1,0,1,119638.85,70464,Female,Loyal Customer,53,Business travel,Business,867,1,1,1,1,4,5,5,2,2,2,2,3,2,5,0,19
85,15732967,Cremonesi,731,France,Male,19,6,0,2,1,1,151581.79,66640,Male,disloyal Customer,22,Business travel,Eco,802,1,1,1,4,1,1,1,1,4,2,4,4,5,1,42,40
86,15737047,Weatherford,754,France,Female,45,6,0,1,1,0,73881.68,97125,Male,Loyal Customer,25,Business travel,Business,2744,3,3,3,3,5,4,5,5,5,5,5,4,5,5,5,0
87,15694039,Jen,650,Germany,Female,46,9,149003.76,2,1,0,176902.83,3696,Female,Loyal Customer,60,Business travel,Business,2100,2,5,5,5,5,3,2,2,2,2,2,1,2,1,0,0
88,15649457,Macleod,588,Germany,Male,41,2,131341.46,2,0,1,7034.94,49299,Female,Loyal Customer,48,Business travel,Business,421,5,5,5,5,1,1,5,1,1,2,1,5,1,4,21,14
89,15742809,Mironova,712,Spain,Female,29,7,77919.78,1,1,0,122547.58,90013,Female,Loyal Customer,52,Business travel,Business,1678,2,2,2,2,3,5,4,2,2,2,2,4,2,5,0,0
90,15637829,Sharpe,691,France,Female,34,7,0,2,0,1,161559.12,5011,Male,Loyal Customer,9,Personal Travel,Eco,502,2,5,3,1,3,2,2,1,4,3,5,2,3,2,158,160
91,15633194,Osborne,771,France,Female,41,10,108309,4,1,1,137510.41,96591,Male,disloyal Customer,12,Business travel,Eco,861,2,1,1,4,4,1,4,4,4,3,3,3,4,4,13,14
92,15611635,Chu,678,Spain,Female,39,6,0,1,0,1,185366.56,5631,Female,Loyal Customer,55,Business travel,Business,2040,3,3,2,3,4,4,5,5,5,5,5,3,5,3,0,0
93,15638774,Chong,719,Spain,Female,40,9,0,2,1,0,182224.14,15318,Male,Loyal Customer,57,Business travel,Business,589,2,1,1,1,1,3,4,2,2,2,2,3,2,3,0,3
94,15722037,Alvarez,610,Germany,Male,36,7,115462.02,1,0,1,42581.04,107368,Male,Loyal Customer,46,Business travel,Business,3913,4,4,4,4,4,5,4,4,4,4,4,3,4,4,0,0
95,15672930,Palerma,722,Spain,Male,37,9,0,2,1,0,31921.95,70302,Female,Loyal Customer,39,Business travel,Business,334,4,4,4,4,3,4,4,4,4,4,4,4,4,5,1,0
96,15668774,Chiemenam,758,Germany,Female,23,5,122739.1,1,1,0,102460.84,77133,Female,Loyal Customer,30,Personal Travel,Business,2105,3,0,3,4,5,3,1,5,3,2,5,4,5,5,117,85
97,15780966,Pritchard,709,France,Female,32,2,0,2,0,0,109681.29,51704,Male,Loyal Customer,49,Business travel,Business,3653,3,2,2,2,5,4,3,3,3,2,3,1,3,3,0,7
98,15659694,Wallis,634,Germany,Female,53,3,113781.5,2,1,1,106345.05,117452,Female,Loyal Customer,46,Business travel,Business,3028,1,1,1,1,1,4,4,1,1,2,1,3,1,4,26,60
99,15624424,Palerma,678,Spain,Female,49,1,0,2,1,1,102472.9,104630,Female,Loyal Customer,51,Business travel,Eco,861,2,1,1,1,5,2,3,2,2,2,2,2,2,4,0,0
100,15708713,Hill,633,France,Male,35,3,0,2,1,1,36249.76,84983,Female,Loyal Customer,15,Business travel,Business,1590,5,5,5,5,4,4,4,4,5,2,4,4,4,4,0,0
101,15755405,Hudson,710,France,Male,43,9,128284.45,1,1,0,32996.89,115709,Female,Loyal Customer,59,Business travel,Eco,337,3,5,5,5,2,4,4,3,3,3,3,1,3,4,9,25
102,15647570,Chung,640,Germany,Male,45,8,120591.19,1,0,0,195123.94,119041,Female,disloyal Customer,38,Business travel,Business,2279,2,1,1,3,3,1,3,3,5,3,4,3,4,3,0,0
103,15684348,Zhdanova,656,France,Male,63,8,0,2,0,1,57014.43,72260,Female,Loyal Customer,14,Business travel,Business,2045,3,2,2,2,3,3,3,3,4,5,4,2,4,3,0,46
104,15702541,Fraser,551,France,Female,59,2,166968.28,1,1,0,159483.76,62921,Male,Loyal Customer,53,Business travel,Business,2456,5,5,5,5,2,5,5,2,2,2,2,5,2,3,0,0
105,15646942,Meng,786,Spain,Female,39,7,0,2,0,0,100929.59,32673,Female,Loyal Customer,37,Business travel,Eco,101,3,1,1,1,3,3,3,3,3,2,3,1,4,3,0,0
106,15748920,Cherkasova,561,France,Female,49,8,0,2,1,1,12513.07,11872,Male,disloyal Customer,20,Personal Travel,Eco,1042,2,4,2,1,2,2,2,2,5,3,5,5,5,2,5,8
107,15694581,Rawlings,807,Spain,Male,42,5,0,2,1,1,74900.9,121399,Male,Loyal Customer,60,Business travel,Business,2991,1,1,1,1,5,5,5,4,4,4,4,5,4,4,21,18
108,15643215,Jen,602,Germany,Male,38,2,71667.97,2,0,0,137111.89,62509,Female,Loyal Customer,35,Business travel,Business,1781,5,5,5,5,3,4,5,4,4,4,4,5,4,5,0,0
109,15649060,Chien,727,Germany,Female,31,3,82729.47,2,1,0,60212.51,115499,Female,Loyal Customer,15,Business travel,Business,1754,3,5,5,5,3,3,3,3,2,4,3,2,2,3,104,86
110,15774258,Gorbunov,678,France,Male,40,1,0,2,1,1,187343.4,68324,Female,Loyal Customer,43,Business travel,Eco,2165,3,2,2,2,3,2,3,3,3,3,3,4,3,3,0,0
111,15731553,Lucas,730,France,Male,23,8,0,2,1,0,183284.53,8011,Female,disloyal Customer,26,Business travel,Eco,402,2,1,2,4,2,2,2,2,3,5,3,2,4,2,0,0
112,15617029,Young,596,Spain,Female,30,1,0,2,1,0,8125.39,112973,Female,Loyal Customer,24,Business travel,Eco Plus,1476,2,5,3,5,2,2,1,2,1,4,1,3,2,2,83,63
113,15780716,Colombo,686,Germany,Male,39,3,129626.19,2,1,1,103220.56,105744,Male,disloyal Customer,32,Business travel,Business,787,3,3,3,2,5,3,5,5,4,4,5,4,5,5,0,3
114,15577018,Tsao,684,Germany,Female,26,2,114035.39,1,0,0,96885.19,30373,Female,Loyal Customer,30,Business travel,Business,862,4,3,3,3,4,4,4,4,3,5,4,2,4,4,2,6
115,15809515,Lewis,797,Germany,Male,32,1,151922.94,1,1,0,8877.06,106781,Female,Loyal Customer,11,Personal Travel,Eco Plus,945,2,4,2,2,2,2,2,2,4,2,3,1,5,2,0,0
116,15789924,Hussain,658,France,Female,39,4,0,1,1,1,147530.06,120036,Female,disloyal Customer,45,Business travel,Business,168,2,2,2,5,3,2,3,3,5,4,5,3,4,3,0,0
117,15725076,Anderson,653,Spain,Female,27,6,107751.68,2,1,1,33389.42,58272,Female,Loyal Customer,46,Business travel,Business,3332,5,5,5,5,5,4,5,4,4,4,4,3,4,4,15,21
118,15672481,Ulyanov,641,France,Male,37,6,0,2,1,0,45309.24,2396,Female,Loyal Customer,54,Business travel,Business,1708,5,5,3,5,4,4,5,3,3,3,3,4,3,4,17,21
119,15574115,Shaw,656,Spain,Female,41,6,101179.23,2,1,1,35230.61,1231,Male,Loyal Customer,41,Personal Travel,Eco,102,3,4,3,4,2,3,3,2,1,5,3,2,4,2,0,0
120,15661830,Lucciano,750,Spain,Female,36,6,0,2,1,1,59816.41,77400,Female,Loyal Customer,14,Personal Travel,Eco,590,1,4,0,5,5,0,5,5,5,3,4,5,4,5,22,16
121,15665879,Gordon,768,France,Female,40,8,0,2,0,1,69080.46,51856,Female,disloyal Customer,15,Business travel,Eco,438,1,1,1,4,3,1,2,3,1,2,4,4,3,3,2,6
122,15673820,Woodward,568,France,Male,33,7,0,2,1,0,143450.61,63078,Female,Loyal Customer,49,Personal Travel,Eco,846,4,4,5,1,3,4,4,5,5,5,5,5,5,5,9,1
123,15747772,Cunningham,706,Germany,Male,36,9,58571.18,2,1,0,40774.01,109982,Male,Loyal Customer,46,Business travel,Business,1204,2,3,2,2,2,4,5,5,5,5,5,3,5,3,0,0
124,15666197,Boni,430,Germany,Female,38,8,153058.64,1,1,0,99377.27,101629,Female,Loyal Customer,56,Personal Travel,Eco,1139,3,5,3,3,2,4,4,3,3,3,5,4,3,4,0,0
125,15773639,Truscott,745,Germany,Male,35,4,98270.34,1,1,0,133617.43,120522,Female,disloyal Customer,37,Business travel,Business,96,4,4,4,4,4,4,4,4,4,3,4,3,4,4,123,124
126,15581893,Ginikanwa,747,France,Male,43,1,130788.71,1,0,1,101495,62471,Male,disloyal Customer,34,Business travel,Business,1723,2,2,2,1,2,2,2,2,4,3,4,4,4,2,19,1
127,15672447,Bailey,657,Germany,Male,40,7,99165.84,1,0,1,119333.95,89933,Female,disloyal Customer,63,Business travel,Eco,906,1,2,2,3,2,2,2,2,1,2,4,1,3,2,9,0
128,15777830,Hutchinson,639,France,Female,42,4,0,2,0,0,167682.37,76883,Female,disloyal Customer,25,Business travel,Business,630,0,4,0,3,2,0,5,2,3,5,4,5,5,2,0,25
129,15713890,Maclean,704,France,Male,44,3,0,2,0,1,152884.85,14161,Male,disloyal Customer,27,Business travel,Business,620,3,3,3,4,3,3,3,3,1,1,4,2,4,3,0,0
130,15577598,Chiang,651,Spain,Male,23,4,115636.05,2,1,0,70400.86,123429,Female,Loyal Customer,26,Business travel,Business,2125,4,5,4,5,4,4,4,4,2,4,2,1,3,4,0,0
131,15786042,Willmore,706,Germany,Female,44,2,185932.18,2,1,0,65413.41,48116,Female,Loyal Customer,30,Business travel,Business,3800,3,3,5,3,5,5,5,5,5,4,2,3,3,5,0,0
132,15753462,Godson,632,Germany,Male,30,2,72549,2,0,1,182728.8,33030,Male,Loyal Customer,62,Personal Travel,Eco,101,0,3,0,2,3,0,3,3,1,4,4,2,1,3,0,2
133,15759690,Smith,751,France,Male,42,4,0,2,1,1,81442.6,16912,Female,Loyal Customer,27,Business travel,Eco Plus,708,0,0,0,1,0,3,3,4,3,5,1,3,1,3,226,264
134,15801414,Bitter,767,France,Female,35,2,0,2,0,0,144251.38,15196,Female,Loyal Customer,60,Business travel,Business,2063,2,4,4,4,2,2,2,1,1,4,3,2,4,2,122,164
135,15656141,Ts'ao,741,France,Male,39,5,0,1,0,1,40207.06,34521,Male,Loyal Customer,36,Personal Travel,Eco,1428,2,3,2,2,1,2,1,1,1,5,3,1,3,1,0,33
136,15608701,Chialuka,651,Germany,Male,29,3,121890.06,1,1,0,54530.51,25855,Female,Loyal Customer,48,Personal Travel,Eco,692,1,1,1,3,4,3,3,5,5,1,2,4,5,2,0,0
137,15582892,Scott,601,France,Male,46,2,99786.07,1,1,1,32683.88,125448,Female,Loyal Customer,57,Business travel,Business,2917,1,1,5,1,2,1,1,4,5,1,2,1,1,1,17,2
138,15632967,Feng,520,France,Male,34,3,0,2,1,1,104703.96,17978,Female,Loyal Customer,56,Business travel,Business,332,3,3,3,3,2,5,5,4,4,4,4,4,4,4,0,0
